Item ID,translated_item_name,category
3263831000000782356,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 1.86M,Metals & Steel
3263831000000782364,HDG PLATE 300X110X12MM WITH 2 HOLES,Construction Materials
3263831000000782372,"HDG ANGLE 70*70*6MM, 12MTR",Construction Materials
3263831000000782360,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 2.05M,Metals & Steel
3263831000000782368,RAIL CLAMP,Construction Materials
3263831000000782358,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 1.55M,Tools & Hardware
3263831000000782366,"HDG M12 ANCHOR BOLT, LENGHT400MM",Construction Materials
3263831000000782374,"HDG ANGEL 50*50*5MM, 12MTR LENGTH CUTTING AS RAILS WELDED WITH ANCHOR BAR 10MM LONG 150MM @300C/C",Construction Materials
3263831000000782354,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 2.531M,Construction Materials
3263831000000782362,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 469MM,Construction Materials
3263831000000782370,"HDG FLAT BAR 50*5, 6MTR",Tools & Hardware
3263831000000782410,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 1.55M,Construction Materials
3263831000000782418,"HDG M12 ANCHOR BOLT, LENGHT400MM",Tools & Hardware
3263831000000782426,"HDG ANGEL 50*50*5MM, 12MTR LENGTH CUTTING AS RAILS WELDED WITH ANCHOR BAR 10MM LONG 150MM @300C/C",Metals & Steel
3263831000000782406,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 2.531M,Construction Materials
3263831000000782414,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 469MM,Tools & Hardware
3263831000000782422,"HDG FLAT BAR 50*5, 6MTR",Construction Materials
3263831000000782412,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 2.05M,Construction Materials
3263831000000782420,RAIL CLAMP,Tools & Hardware
3263831000000782408,HDG TRANSFORMER RAIL QU100 - WT:88.96 KG/M - LENGHT: 1.86M,Construction Materials
3263831000000782416,HDG PLATE 300X110X12MM WITH 2 HOLES,Tools & Hardware
3263831000000782424,"HDG ANGLE 70*70*6MM, 12MTR",Construction Materials
3263831000000782460,"ASTM C-20 SRC Screed, 350kg/M3 125+/- Max agg. Size 10 (unit is M3)",Construction Materials
3263831000000782458,"ASTM C-20 SRC Blending, 320kg/M3 125+/- Max agg. Size 20 (unit is M3)",Construction Materials
3263831000000782462,ASTM C-38 SRC Structural Concrete 420kg/M3 125+/- Max agg. Size 20 (unit is M3),Construction Materials
3263831000000835113,Gesse R. E. E. 145 RAL9005 (PCS),Construction Materials
3263831000000835121,PCS PCS Brunch,Miscellaneous & Logistics
3263831000000835129,Roll wire 61 cm silver,Metals & Steel
3263831000000835137,Emirati protection bar 1 white meter (PCS),Electrical & Lighting
3263831000000835145,"Dr. Han Hins, Royal Halibi, MS",Safety & Fire Protection
3263831000000835115,Italian Super Saraya Cover (PCS),Tools & Hardware
3263831000000835131,The rubel summary 6 Simm2015 (MAL),Metals & Steel
3263831000000835139,Black Black Chinese Cream Model 700 MS (PCS),Safety & Fire Protection
3263831000000835119,Pcs Brush 6.5 mm PB6 Bernzaleza (PCS),Tools & Hardware
3263831000000835127,Roll wire 121 cm silver,Metals & Steel
3263831000000835135,German silicone Wacker Wacker (PCS),Tools & Hardware
3263831000000835143,Camp Calon ordinary black ms,Metals & Steel
3263831000000835117,Chinese Saraya MS (PCS),Electrical & Lighting
3263831000000835125,Rubs 3.5 mm black (kilo),Tools & Hardware
3263831000000835133,Rubbil Skaseer Small shower mys008 (meter),Tools & Hardware
3263831000000835141,Calon Black Chinese door MS Ral9005,Metals & Steel
3263831000000835205,The tongue of the tongue of the Master ITaly Conn. Block. Pair,Electrical & Lighting
3263831000000835207,"Inverted till with a flat tuber, a simplified pin, the muster suplementary Locking Pin (PCS)",Construction Materials
3263831000000835203,Master ITAY CREMONE For Facade 9005 (PCS),Construction Materials
3263831000000835201,"The arm will spread 50 cm GIESSE HD-TOP-Hung ""20",Construction Materials
3263831000000835209,Stretcher 2 Master ITAY EM. Counterplate (PCS),Tools & Hardware
3263831000000884013,08.0 mm Deformed straight Bar - CR - 6M (Unit: Ton),Construction Materials
3263831000000884021,14.0 mm Black Deformed Straight Bar G60 - 12 M - Ittifaq (Unit: Ton),Construction Materials
3263831000000884029,16.0 mm Black Deformed Straight Bar G60 – 12M - Watani (Unit: Ton),Metals & Steel
3263831000000884017,09.5 mm Deformed Straight Bar - CR - 12M (Unit: Bundle),Construction Materials
3263831000000884015,07.7 mm Deformed Straight Bar - CR - 6M (Unit: Bundle),Construction Materials
3263831000000884023,16.0 mm Black Deformed Straight Bar G60 - 12M - Ittifaq (Unit: Ton),Construction Materials
3263831000000884019,12.0 MM Black deformed straight bar G60-12m-Ittifaq (Unit: Ton),Metals & Steel
3263831000000884073,B.sheet G.50 - 1.5 * 3 mtr * 20 mm (Unit: Pcs),Construction Materials
3263831000000884081,UPN 180 * 75 * 8.5 MM * 12 mtr (Unit: Pcs),Metals & Steel
3263831000000884069,B.Sheet A36 - 2 * 6 mtr * 10 mm (Unit: Pcs),Construction Materials
3263831000000884077,IPE 300*150*7.1 *10.7 MM * 12 mtr (Unit: Pcs),Construction Materials
3263831000000884067,07.7 mm Deformed Straight Bar - CR - 6M,Metals & Steel
3263831000000884075,B.sheet G.50 - 2 * 12 mtr * 28 mm (Unit: Pcs),Construction Materials
3263831000000884071,B.sheet A36 - 2 * 12 mtr * 14 mm (Unit: Pcs),Construction Materials
3263831000000884079,IPE 330 * 160 * 11.5 * 7.5 MM * 12 mtr (Unit: Pcs),Construction Materials
3263831000000932005,3-way RMU outdoor-LUCY SF6 Insulated 13.8KV as per SEC (Unit: EA),Electrical & Lighting
3263831000000932007,Fire pump UL/FM approved Electric+Diesel+Jockey pump capacity 500GPM@7.79 Bar. Complete with control,Safety & Fire Protection
3263831000000932003,"TX 1500KVA 13.8KV/0.4KV, Dyn 11, 60Hz, ONAN, CU HV/LV winding SEC standard with the main breaker (Un",Electrical & Lighting
3263831000000932009,"Supply of exhaust, fresh and pressurization fan (As per approval) (Unit: Lot)",Plumbing & HVAC
3263831000000948027,31.6 x 31.6 x 1.1 cm Model# 3303,Tools & Hardware
3263831000000948045,60 x 60 x 1.1 cm Porcelain Tiles (SQM). Model: DG-6514,Construction Materials
3263831000000948067,12.0 MM Black deformed straight bar G60-12m-Ittifaq (Unit: TON),Metals & Steel
3263831000000948075,16.0 mm Black Deformed Straight Bar G60 – 12M - Watani (Unit: TON),Metals & Steel
3263831000000948069,14.0 mm Black Deformed Straight Bar G60 - 12 M - Ittifaq (Unit: TON),Metals & Steel
3263831000000948063,07.7 mm Deformed Straight Bar - CR - 6M (Unit: Bundle),Metals & Steel
3263831000000948071,16.0 mm Black Deformed Straight Bar G60 - 12M - Ittifaq (Unit: TON),Metals & Steel
3263831000000948065,09.5 mm Deformed Straight Bar - CR - 12M (Unit: Bundle),Metals & Steel
3263831000000948073,12.0 mm Black Deformed Straight Bar G60 – 12M - Watani (Unit: TON),Metals & Steel
3263831000000948123,Roll up door (white) WITH MOTOR GENUS,Security & Access Control
3263831000001102026,"Concrete Septic Tank, Total Capacity 21 M3 (Ext. Dimension 3.24 M x 3.30 H) (Inter. Dimension 3.00 m",Construction Materials
3263831000001102024,"Concrete Water Tank, Total Capacity 21 M3 (Ext. Dimension 3.24 M x 3.30 H) (Inter. Dimension 3.00 m",Construction Materials
3263831000001109060,Reinforcing Steel Bar Ittfaq 10 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001109068,Reinforcing Steel Bar Ittfaq 20 mm 12 MTR (Unit: Ton),Construction Materials
3263831000001109066,Reinforcing Steel Bar Ittfaq 16 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001109062,Reinforcing Steel Bar Ittfaq 12 mm 12 MTR (Unit: Ton),Construction Materials
3263831000001109070,Delivery Charges,Miscellaneous & Logistics
3263831000001109064,Reinforcing Steel Bar Ittfaq 14 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001157017,Reinforcing Steel Bar Ittfaq 12 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001157015,Reinforcing Steel Bar Ittfaq 10 mm 12 MTR (Unit: Ton),Tools & Hardware
3263831000001157019,Reinforcing Steel Bar Ittfaq 14 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001157013,Reinforcing Steel Bar Sabic 8 mm 6 MTR (Unit: Ton),Metals & Steel
3263831000001157021,Reinforcing Steel Bar Ittfaq 16 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001157289,Reinforcing Steel Bar Ittfaq 14 mm 12 MTR (Unit: Ton),Construction Materials
3263831000001157287,Reinforcing Steel Bar Ittfaq 12 mm 12 MTR (Unit: Ton),Construction Materials
3263831000001157291,Reinforcing Steel Bar Ittfaq 16 mm 12 MTR (Unit: Ton),Metals & Steel
3263831000001258007,"Hollow Core Slab, 200 mm thick (UNIT: M2)",Construction Materials
3263831000001257128,HR Sheet 1.50x1220x2440mm Sabic,Construction Materials
3263831000001257126,HR Sheet 2.00x1220x3000mm Sabic,Construction Materials
3263831000001257130,HR Coil 1.50x1000mm Sabic,Electrical & Lighting
3263831000001257124,HR Sheet 1.50x1220x3000mm Sabic,Tools & Hardware
3263831000001257132,HR Coil 2.00x1000mm Sabic,Metals & Steel
3263831000001257158,Coil HR Sabic 2.00x1000mm (slitting 140),Construction Materials
3263831000001257156,Sheet GI Sabic G90 1.50x1220x2440mm,Construction Materials
3263831000001257160,Coil HR Sabic 1.80x1000mm (slitting 140),Metals & Steel
3263831000001257162,Sheet GI Taiwan 3.80x1220x3000mm,Construction Materials
3263831000001257192,HR.COIL.SLASHER 1220x2.50mm (140 mm),Security & Access Control
3263831000001257190,HR Sheet 2.00x1220x2440mm,Construction Materials
3263831000001257214,Reinforcing Steel Bar Watani 16 mm 12 MTR,Metals & Steel
3263831000001257210,Reinforcing Steel Bar Watani 12 mm 12 MTR,Metals & Steel
3263831000001257212,Reinforcing Steel Bar Watani 14 mm 12 MTR,Construction Materials
3263831000001398017,SABIC iron 16 mm 12 m,Metals & Steel
3263831000001398013,SABIC iron 12 mm 12 m,Construction Materials
3263831000001398015,SABIC iron 14 mm 12 m,Metals & Steel
3263831000001493327,My country is 14 mm,Electrical & Lighting
3263831000001493321,8 mm pulled,Miscellaneous & Logistics
3263831000001493329,8 mm grille (special size) SABIC crude,Metals & Steel
3263831000001493325,Rajhi 12 mm,Tools & Hardware
3263831000001493323,A hot agreement 10 mm,Metals & Steel
3263831000001523187,B.SHEET 1.5X6 MTRX20 MM,Construction Materials
3263831000001523185,IPE 300*150*7.1 *10.7 MM * 12 mtr,Construction Materials
3263831000001523181,HEB 200X200X15X9MMX12MTR,Construction Materials
3263831000001523189,HEB 280X280X10.5X18MMX12MTR,Metals & Steel
3263831000001523183,HEB 260X260X10X17.5MMX12MTR,Construction Materials
3263831000001523191,Corrugated Sheet 1x6 mtr x 0.50 mm,Construction Materials
3263831000001523249,"Hollow Core Slab, 200 mm thick (UNIT: M2)",Construction Materials
3263831000001523251,"Shurfa-D(R.F) Villa # 3043, erection only. (Unit: M2)",Construction Materials
3263831000001523253,"Home (F.F) Villa # 3052, erection only (Unit: M2)",Construction Materials
3263831000001554025,Welding Spray AS-90 (Unit: Each),Metals & Steel
3263831000001554033,Sanding Disc 115mm Grit 120 (Unit: Each),Tools & Hardware
3263831000001554041,S.S Latch Hinge (Unit: Each),Tools & Hardware
3263831000001554049,Anchor Bolt 8 x 10 x 40 (Unit: Each),Construction Materials
3263831000001554057,Self Drilling Flat Head Screw (AS Per Sample) (Unit: Each),Tools & Hardware
3263831000001554065,S.S Self Drilling Screw 6 x ½” (Unit: Each),Construction Materials
3263831000001554073,Starch Roll For Wrapping Big (Unit: Roll),Tools & Hardware
3263831000001554081,Metal Clips (Unit: Box),Metals & Steel
3263831000001554027,Grinding Disc 115 x 6mm Heavy Duty (Unit: Each),Tools & Hardware
3263831000001554035,Sanding Disc Plastic Pad 115mm (Unit: Each),Tools & Hardware
3263831000001554043,Sinck Screw 6.5 x 50mm (Unit: Each),Construction Materials
3263831000001554051,Anchor Bolt 8 x 10 x 60 (Unit: Each),Construction Materials
3263831000001554059,Self Drilling Flat Head Screw M4 x 12mm Black (Unit: Each),Tools & Hardware
3263831000001554067,Rubber Cap # 17 (Unit: Each),Tools & Hardware
3263831000001554075,PU Foam 3mm Thick (Unit: Roll),Construction Materials
3263831000001554083,SS Allen Screw M5 x 15mm (Unit: Each),Metals & Steel
3263831000001554091,S.S Chain 1mm (As Per Sample ) (Unit: MTR),Metals & Steel
3263831000001554029,Flap Disc 115mm Grit 80 (Unit: Each),Tools & Hardware
3263831000001554037,Rockwool (As Per Our Regular Supply) (Unit: Each),Construction Materials
3263831000001554045,Sinko Screw 6.3 x 25mm (Unit: Each),Tools & Hardware
3263831000001554053,Plastic Fisher 8mm x 40mm (Unit: Box),Tools & Hardware
3263831000001554061,Flat Head Self Drilling Screw (As Per Sample) (Unit: Each),Tools & Hardware
3263831000001554069,Rubber Cap # 13 (Unit: Each),Office & Furniture
3263831000001554077,PU Foam 8mm Thick (AS Per Previous Supply) (Unit: Roll),Construction Materials
3263831000001554085,Nylon Nut M5 SS (Unit: Each),Tools & Hardware
3263831000001554093,S.S Lock With Triangle Key (Unit: Each),Security & Access Control
3263831000001554023,MIG Wire Heavy Duty (Unit: Roll),Metals & Steel
3263831000001554031,Cutting Disc 115 x 1.2 x 22.2mm TOTAL (Unit: Each),Construction Materials
3263831000001554039,Hand Lock (Unit: Each),Security & Access Control
3263831000001554047,Anchor Bolt 8 x 10 x 80 (Unit: Each),Construction Materials
3263831000001554055,CSK Screw SS M4 x 10mm (Unit: Each),Metals & Steel
3263831000001554063,S.S Washer M4 (Unit: Each),Tools & Hardware
3263831000001554071,Rubber Cap # 10 (Unit: Each),Miscellaneous & Logistics
3263831000001554079,Wrapping Belt Black (Unit: Box),Tools & Hardware
3263831000001554087,SS Screw Flat Head M4 x 10 (Unit: Each),Tools & Hardware
3263831000001554095,Heavy Duty Rubber Gasket U type (30 Mtr / Box) (Unit: Box),Construction Materials
3263831000001554163,PR29/RAL 1015 CW (Unit: KG),Construction Materials
3263831000001554167,PR29/V RAL 7021 M (Unit: KG),Metals & Steel
3263831000001554165,PR29/V RAL 7035 CW (Unit: KG),Metals & Steel
3263831000002503213,Aluminum tube rectangle 20*80*1.30 mm 6 meters,Construction Materials
3263831000002503207,لوح استانلس ستيل مجلوخ 201- 1.0 * 1220 * 2440 ملى No.4,Tools & Hardware
3263831000002503211,Pillar Nabrum Stanse Steel 304 - 4 mm * 6 m,Metals & Steel
3263831000001554254,Iron box size 40*40 mm thick 1.2 mm length 6 m,Construction Materials
3263831000001554262,Black iron sheet size 1000*2000 mm thick 9.8 mm,Construction Materials
3263831000001554256,Singing iron sheet size 1000*3000 mm thick 1.2 mm,Construction Materials
3263831000001554264,Monster Stanse 12 mm in length 6 m gr304,Tools & Hardware
3263831000001554258,Single iron sheet size 1220*2440 mm thick 1.2 mm,Metals & Steel
3263831000001554260,Black iron sheet size 1000*2000 mm thick 2.8 mm,Construction Materials
3263831000001554324,Thermal Insulation polyurethane,Construction Materials
3263831000001554326,Thermal Insulation Foam,Construction Materials
3263831000001755007,10 MM STEEL 60GR (Unit:TON),Metals & Steel
3263831000001755073,Reinforcing Steel Bar Sabic 16 MM x 12 MTR (Unit: TON),Construction Materials
3263831000001755075,Reinforcing Steel Bar Sabic 14 MM x 12 MTR (Unit: TON),Metals & Steel
3263831000001755077,Reinforcing Steel Bar Sabic 12 MM x 12 MTR (Unit: TON),Tools & Hardware
3263831000002009063,4C x 50mm CU/XLPE/PVC Cable 0.6/1KV,Electrical & Lighting
3263831000002069039,4C x 50mm CU/XLPE/PVC Cable 0.6/1KV,Electrical & Lighting
3263831000002151185,Rebar Saudi Alrajhi 14 mm * 12 Mtr (Unit: Ton),Tools & Hardware
3263831000002151187,Rebar Saudi Alrajhi 16 mm * 12 Mtr (Unit: Ton),Construction Materials
3263831000002151181,Rebar Saudi (Majdool) 8mm * 6 Mtr (Unit: Ton),Metals & Steel
3263831000002151189,Rebar Saudi Ittefaq 18 mm * 12 Mtr (Unit: Ton),Construction Materials
3263831000002151183,Rebar Saudi Alrajhi 12 mm * 12 Mtr (Unit: Ton),Construction Materials
3263831000002151191,Rebar Saudi Alrajhi 20 mm * 12 Mtr (Unit: Ton),Construction Materials
3263831000002167023,Holland 60mm Gray,Metals & Steel
3263831000002167025,Holland 60mm Gray Black,Plumbing & HVAC
3263831000002167027,Holland 60mm Black,Metals & Steel
3263831000002205037,Reinforcing Steel Bar Ittfaq 10 mm 12 MTR,Metals & Steel
3263831000002205039,Reinforcing Steel Bar Ittfaq 12 mm 12 MTR,Construction Materials
3263831000002205041,Reinforcing Steel Bar Ittfaq 14 mm 12 MTR,Construction Materials
3263831000002205035,Reinforcing Steel Bar Ittfaq 8 mm 6 MTR,Metals & Steel
3263831000002304088,09.5 mm Deformed Straight Bar - CR - 12M,Metals & Steel
3263831000002304098,14.0 mm Black Deformed Straight Bar G60 – 12M - Watani,Construction Materials
3263831000002304100,16.0 mm Black Deformed Straight Bar G60 – 12M - Watani,Metals & Steel
3263831000002304086,07.7 mm Deformed Straight Bar - CR - 6M,Metals & Steel
3263831000002304094,16.0 mm Black Deformed Straight Bar G60 - 12M - Ittifaq,Construction Materials
3263831000002304102,08.0 mm Deformed Coil -CR,Metals & Steel
3263831000002355047,Cut & Bend Rebar 8 mm,Construction Materials
3263831000002355055,Cut & Bend Rebar 16 mm,Metals & Steel
3263831000002355049,Cut & Bend Rebar 10 mm,Construction Materials
3263831000002355051,Cut & Bend Rebar 12 mm,Metals & Steel
3263831000002355053,Cut & Bend Rebar 14 mm,Metals & Steel
3263831000002348075,Cut & Bend Rebar 8 mm,Construction Materials
3263831000002348077,Cut & Bend Rebar 10 mm,Metals & Steel
3263831000002348079,Cut & Bend Rebar 12 mm,Construction Materials
3263831000002348081,Cut & Bend Rebar 14 mm,Tools & Hardware
3263831000002454090,09.5 mm Deformed Straight Bar - CR - 12M,Construction Materials
3263831000002454076,12 mm national iron at length 12 meters,Metals & Steel
3263831000002454078,14.0 mm Black Deformed Straight Bar G60 – 12M - Watani,Construction Materials
3263831000002454080,16.0 mm Black Deformed Straight Bar G60 – 12M - Watani,Metals & Steel
3263831000002454088,07.5 mm Deformed Straight Bar - CR - 6M,Metals & Steel
3263831000002541391,4C x 300mm AL/XLPE/PVC Cable 0.6/1KV,Electrical & Lighting
3263831000002541393,1C x 35mm Bare Copper Wire,Electrical & Lighting
3263831000002541395,4C x 50mm CU/XLPE/PVC Cable 0.6/1KV,Electrical & Lighting
3263831000002530058,SABIC iron 12 mm 12 m,Construction Materials
3263831000002530060,SABIC iron 14 mm 12 m,Metals & Steel
3263831000002530062,SABIC iron 16 mm 12 m,Construction Materials
3263831000002559061,C35 / OPC,Miscellaneous & Logistics
3263831000002559132,From Marshall,Tools & Hardware
3263831000002559192,Iron armament 12 mm,Metals & Steel
3263831000002559194,Survey iron 14 mm,Tools & Hardware
3263831000002559196,Steel iron 16 mm,Metals & Steel
3263831000002621151,10 MM STEEL 60GR,Metals & Steel
3263831000002621215,From Marshall,Tools & Hardware
3263831000002728009,Cut & Bend Rebar 10 mm,Construction Materials
3263831000002728011,Cut & Bend Rebar 12 mm,Metals & Steel
3263831000002728013,Cut & Bend Rebar 14 mm,Metals & Steel
3263831000002728007,Cut & Bend Rebar 8 mm,Construction Materials
3263831000002728015,Cut & Bend Rebar 16 mm,Construction Materials
3263831000002761377,SABIC armament iron 10 mm,Metals & Steel
3263831000002855131,SABIC armament iron 16 mm,Security & Access Control
3263831000002761379,SABIC armament iron 14 mm,Metals & Steel
3263831000002846084,Concrete reinforced 250 kg/ m3 resistance,Construction Materials
3263831000002846086,Armed concrete 400 kg/ m3 resistance,Construction Materials
3263831000002860023,Swedish wire 6 mm red 10,Electrical & Lighting
3263831000002860031,Swedish wire 4 ml black 12,Electrical & Lighting
3263831000002860039,Swedish wire 2.5 mm red 14,Electrical & Lighting
3263831000002860017,Swedish wire 6 ml yellow 10,Electrical & Lighting
3263831000002860025,Swedish wire 4 ml yellow 12,Electrical & Lighting
3263831000002860033,Swedish wire 2.5 mm blue 14,Metals & Steel
3263831000002860019,Swedish wire 6 ml black 10,Electrical & Lighting
3263831000002860027,Swedish wire 4 ml red 12,Electrical & Lighting
3263831000002860035,Swedish wire 2.5 mm black 14,Electrical & Lighting
3263831000002860021,Swedish wire 6 ml blue 10,Electrical & Lighting
3263831000002860029,Swedish wire 4 mm blue 12,Electrical & Lighting
3263831000002860037,Swedish wire 2.5 mm yellow 14,Electrical & Lighting
3263831000002948009,Rebar Saudi Alrajhi 10 mm * 12 Mtr,Construction Materials
3263831000002948003,Rebar Saudi Alrajhi 16 mm * 12 Mtr,Construction Materials
3263831000002948005,Rebar Saudi Alrajhi 14 mm * 12 Mtr,Construction Materials
3263831000002948007,Rebar Saudi Alrajhi 12 mm * 12 Mtr,Construction Materials
3263831000002962014,C35 SCC - 450,Construction Materials
3263831000002973011,Concrete Supply,Construction Materials
3263831000002973089,"Iron Arm, Saudi SABIC, 14 mm * 12 m",Metals & Steel
3263831000002973091,Iron Armile Saudi SABIC 12 mm * 12 m,Construction Materials
3263831000002973087,"Iron, a Saudi, SABIC reinforcement, 16 mm * 12 m",Metals & Steel
3263831000003013609,Pillar Nabrum Stanse Steel 304 - 4 mm * 6 m,Metals & Steel
3263831000003013605,لوح استانلس ستيل مجلوخ 304 - 1.0 * 1220 * 2440 ملى No.4,Construction Materials
3263831000003013607,لوح استانلس ستيل مجلوخ 304 - 2.0 * 1220 * 2440 ملى No.4,Metals & Steel
3263831000003041426,"Cowls, armament 11 mm",Tools & Hardware
3263831000003041424,"Cowls, 9 mm, armament",Security & Access Control
3263831000003052053,SABIC armament iron 8 mm,Metals & Steel
3263831000003052061,Bluod Indonese is 18 mm,Metals & Steel
3263831000003052057,SABIC armament iron 16 mm,Security & Access Control
3263831000003052055,SABIC armament iron 12 mm,Metals & Steel
3263831000003052063,Indonesian runners 8 * 8 * 4,Construction Materials
3263831000003052059,SABIC armament iron 18 mm,Security & Access Control
3263831000003076718,Thermal Insulation polyurethane works,Plumbing & HVAC
3263831000003076720,Thermal Insulation Foam Concrete Works,Construction Materials
3263831000003083003,ALCOBOND A2 ALC 016 - 0.5MM (AI) * 4 (PANEL) * 1250 (W)* 4500 (L),Construction Materials
3263831000003083035,An empty rectangle 100*50*3 mm*6 m,Office & Furniture
3263831000003083031,Square of 40*40*3 Mam*6 m,Construction Materials
3263831000003083033,HEA 200*190*12m,Construction Materials
3263831000003088017,1x4mm2 NYA standard wire Black 100 YRD / RL,Electrical & Lighting
3263831000003088015,1x2.5mm2 NYA standard wire Red 100 YRD / RL,Electrical & Lighting
3263831000003088019,1x6mm2 NYA standard wire blue 100 YRD / RL,Electrical & Lighting
3263831000003081038,Glorious Glue A325,Construction Materials
3263831000003081046,Glorious Glue A325,Construction Materials
3263831000003081054,HEX BOLT H D G A325,Metals & Steel
3263831000003081062,Solid Solid Den 6916 was left behind on the hot,Construction Materials
3263831000003081042,Glorious Glue A325,Tools & Hardware
3263831000003081050,Glorious Glue A325,Construction Materials
3263831000003081058,"Style, vaginal, hot",Office & Furniture
3263831000003081040,Glorious Glue A325,Metals & Steel
3263831000003081048,Glorious Glue A325,Construction Materials
3263831000003081056,"Style, vaginal, hot",Miscellaneous & Logistics
3263831000003081044,Glorious Glue A325,Construction Materials
3263831000003081052,Glorious Glue A325,Metals & Steel
3263831000003081060,FLATE WASHER H D G F436,Tools & Hardware
3263831000003230009,Steel iron 10 mm,Metals & Steel
3263831000003230017,Rebar Steel 20mm,Construction Materials
3263831000003230013,Steel armament 14 mm agreement,Safety & Fire Protection
3263831000003230011,Steel armament of 12 mm agreement,Security & Access Control
3263831000003230015,Steel armament 16 mm agreement,Security & Access Control
3263831000003242163,Bar Clip (T-10),Tools & Hardware
3263831000003242171,Threded Rod 12mm - Fixed with Duct (including Nut & Washer),Construction Materials
3263831000003242179,"Bolt, Nut and Washer 8 mm",Tools & Hardware
3263831000003242159,C-CLIP (T-1),Construction Materials
3263831000003242167,Galvanized Angle bar 30 x30 x 3mm - Fixed with Duct,Construction Materials
3263831000003242175,Wire mesh with Frame,Construction Materials
3263831000003242157,Duct Fabrication from G.I.Steel - G.90,Metals & Steel
3263831000003242165,Bar Clip + Flat Bar (T-13),Tools & Hardware
3263831000003242173,Threded Rod 10mm - Fixed with Duct (including Nut & Washer),Tools & Hardware
